,Energy_HighTech,Energy_RnD,Energy_Patents,Openness_Top10Income_INV,Openness_HumanCapital,Cohesion_Gini_INV,Cohesion_Homicide_INV,Demography_Fertility,Hard_Population,Hard_GDP_USD,Hard_Military_Pct,Geo_Freshwater,Geo_ArableLand,Hard_EnergyVulnerability_INV,Openness_RegQuality,Cohesion_GovEffectiveness
USA,24.322982844202,3.44716,262244.0,30.7,,41.8,5.76340794073065,1.6265,340110988.0,28750956130731.2,3.41921653228044,2818.0,151563525.1,-9.00058575160831,,
CAN,16.7779029827711,1.7908,4710.0,24.6,,31.5,1.97968887560784,1.25,41288599.0,2243636826633.76,1.31303419578919,2850.0,38151000.0,-89.626081306096,,
GBR,29.233260009076,2.67614,11592.0,25.0,,32.4,1.11868407522333,1.551,69226000.0,3686033044482.13,2.2786177901127,145.0,6043691.6,44.0436184547282,,
FRA,23.1371073769038,2.17832,13386.0,25.0,,31.8,1.33506280409367,1.61,68551653.0,3160442622465.08,2.05257687860637,200.0,16899246.0,47.1279302986198,,
DEU,17.9772990379432,3.1539,39822.0,26.2,,33.7,0.910722780231795,1.36,83516593.0,4685592577804.69,1.89190377205494,107.0,11681000.0,70.4874265375658,,
ITA,12.2827088504022,1.37935,10281.0,25.8,,34.3,0.568072449338316,1.18,58952704.0,2380825077243.59,1.60924561245844,182.5,7084477.0,79.59805806701,,
ESP,9.28447661569937,1.49362,1308.0,24.5,,33.4,0.690855954769765,1.1,48848840.0,1725671652742.19,1.43210737406914,111.2,11496755.0,76.9846775136602,,
NLD,23.4680052763745,2.26719,2080.0,21.4,,25.7,0.690893081283378,1.43,17993485.0,1214927698572.66,1.91642541759119,11.0,1009000.0,87.0173748946605,,
BEL,20.3921453422236,3.27235,799.0,22.2,,26.8,1.08030153549307,1.44,11858610.0,671370081636.406,1.2770531266155,12.0,863153.6,89.1747801928026,,
CHE,29.6239015157944,3.22178,1288.0,26.6,,33.8,0.597481940544685,1.29,9005582.0,936564198048.516,0.717812077671144,40.4,396420.9,51.7388257322457,,
SWE,17.6524551082203,3.59978,1771.0,22.3,,29.3,1.14675703743944,1.43,10569709.0,603715224265.798,1.99771738810168,171.0,2526000.0,27.7524049832745,,
DNK,17.6194498489345,3.04841,1090.0,25.5,,29.9,0.840599404536194,1.47,5976992.0,424524722037.047,2.41617454160591,6.0,2365000.0,43.7871947382637,,
NOR,25.4139359384172,1.85142,946.0,21.6,,26.5,0.724747049690651,1.45,5572279.0,483592648313.301,2.09124111193175,382.0,803000.0,-703.959305781578,,
FIN,9.28522659633957,3.0938,1557.0,22.5,,27.4,0.98193498501344,1.25,5619911.0,298696961297.656,2.29979173712597,107.0,2244000.0,30.2718534094324,,
IRL,53.5184328432158,1.58829,75.0,24.1,,29.0,0.654270171245596,1.47,5395790.0,609157459747.205,0.239096332495524,49.0,439000.0,85.7663488731447,,
PRT,6.77343918950435,1.69491,711.0,26.9,,33.9,0.719971949892832,1.41,10694681.0,313271185085.102,1.53226822745255,38.0,927262.8,77.2448975861994,,
AUT,18.4525766859019,3.25517,1872.0,24.8,,31.2,0.876191031111463,1.31,9177982.0,534790720466.822,0.999843177036641,55.0,1321781.6,63.9661980292725,,
ISL,53.9722930663779,2.64005,34.0,22.4,,26.8,1.29013114183057,1.56,386506.0,33255181468.9382,,170.0,121000.0,,,
RUS,9.72984772707015,0.93706,19569.0,25.1,,33.0,6.76512531955806,1.418,143533851.0,2173835806671.66,7.05233864500366,4312.0,121649000.0,-75.1375358449974,,
UKR,6.37028789775054,0.36988,1302.0,21.7,,25.6,3.77663964401616,0.988,37860221.0,190741262414.705,34.4815297701892,55.1,32924000.0,23.5925758831614,,
BLR,6.01576846359853,0.5872,276.0,20.7,,24.4,2.38463165310244,1.217,9132629.0,75961865471.9129,2.07364910790144,34.0,5567800.0,77.0799482437318,,
POL,13.5099699026858,1.55525,3377.0,22.9,,28.5,0.802314721828908,1.14,36559233.0,917767106146.761,4.15439387975356,53.6,11202000.0,48.8193550583318,,
ROU,13.4497511493721,0.51656,772.0,21.8,,29.8,1.10887485110282,1.39,19051804.0,382564217988.866,2.29815245791591,42.38,8407000.0,28.0603457724141,,
CZE,22.4045215279558,1.83369,541.0,21.5,,25.7,0.767827757917044,1.36,10905028.0,347034062928.479,1.91680849222604,13.15,2524276.0,41.9751454505475,,
HUN,22.5745118826045,1.37748,433.0,23.9,,30.6,0.722657964901225,1.41,9562065.0,222722738925.641,2.15630980446665,6.0,4144147.0,62.5098125396588,,
SVK,10.5935553645599,1.03359,146.0,18.8,,23.8,1.12358440823663,1.46,5422069.0,140934076532.375,2.01078152849676,12.6,1307000.0,57.886994383722,,
LTU,17.3245506640985,1.04977,81.0,27.3,,36.0,2.62779952622526,1.11,2888278.0,84869215513.3648,3.11817486440289,15.46,2303000.0,71.4559726962456,,
LVA,17.4901914812882,0.8236,104.0,26.2,,34.0,2.49681788529087,1.24,1866124.0,43684254432.3609,3.25799154535171,16.94,1360000.0,34.3077384557047,,
