country,year,Energy_HighTech,Energy_RnD,Energy_Patents,Openness_Top10Income_INV,Openness_HumanCapital,Cohesion_Gini_INV,Cohesion_Homicide_INV,Demography_Fertility,Hard_Population,Hard_GDP_USD,Hard_Military_Pct,Geo_Freshwater,Geo_ArableLand,Hard_EnergyVulnerability_INV,Openness_RegQuality,Cohesion_GovEffectiveness
USA,2000,,2.61982,164795.0,30.3,,40.1,5.53707946956534,2.056,282162411.0,10250947997000.0,3.11224214697679,2818.0,175477200.0,,,
USA,2001,,2.63715,177513.0,30.7,,40.6,6.69516821550341,2.0305,284968955.0,10581929774000.0,3.12380980266703,2818.0,175462800.0,,,
USA,2002,,2.54746,184245.0,30.1,,40.4,5.65304262610104,2.0205,287625193.0,10929112955000.0,3.44761809928778,2818.0,172977000.0,,,
USA,2003,,2.55014,188941.0,30.2,,40.8,5.65304262610104,2.0475,290107933.0,11456442041000.0,3.82716104473623,2818.0,170725875.0,,,
USA,2004,,2.48685,189536.0,30.3,,40.5,5.65304262610104,2.0515,292805298.0,12217193198000.0,4.01631273640692,2818.0,168513512.0,,,
USA,2005,,2.50192,207867.0,31.0,,41.3,5.65304262610104,2.057,295516599.0,13039199193000.0,4.08923187524508,2818.0,166277199.0,,,
USA,2006,,2.54545,221784.0,31.4,,41.7,5.79419136382991,2.108,298379912.0,13815586948000.0,4.04134230166038,2818.0,164118220.0,,,
USA,2007,29.8991351588255,2.61516,241347.0,30.6,,41.1,5.67445011466685,2.12,301231207.0,14474226905000.0,4.07335051467688,2818.0,161788654.0,,,
USA,2008,28.4192806106129,2.74481,231588.0,30.5,,41.1,5.39888580801544,2.072,304093966.0,14769857911000.0,4.44659552156261,2818.0,160428347.1,,,
USA,2009,24.3626446890131,2.7918,224912.0,30.5,,40.9,4.9992946235203,2.002,306771529.0,14478064934000.0,4.87576835879774,2818.0,159037511.2,,,
USA,2010,22.6194775165319,2.71443,241977.0,29.4,,40.2,4.73280651793807,1.931,309378227.0,15048964444000.0,4.90402300595835,2818.0,157663804.3,,,
USA,2011,20.624916162211,2.73803,247750.0,30.3,,41.2,4.66754631709583,1.8945,311839461.0,15599728123000.0,4.82244197600452,2818.0,156296691.4,,,
USA,2012,20.174250704896,2.67272,268782.0,30.4,,41.2,4.68473058437162,1.8805,314339099.0,16253972230000.0,4.4617099699335,2818.0,154903721.5,,,
USA,2013,20.188635370966,2.69591,287831.0,30.2,,40.9,4.47313924865612,1.8575,316726282.0,16843190993000.0,4.02370560438155,2818.0,155417671.4,,,
USA,2014,20.4843982208576,2.70882,285096.0,30.8,,41.7,4.38357348743573,1.8625,319257560.0,17550680174000.0,3.67891817387645,2818.0,155960342.3,,,
USA,2015,21.3904480368657,2.77328,288335.0,30.6,,41.5,4.87019612648983,1.8435,321815121.0,18206020741000.0,3.46449292564277,2818.0,156453464.2,,,
USA,2016,22.4192942002286,2.83677,295327.0,30.6,,41.3,5.28982026159524,1.8205,324353340.0,18695110842000.0,3.40260233575118,2818.0,156915018.1,,,
USA,2017,19.2659699620243,2.88315,293904.0,30.4,,41.4,5.20582704229048,1.7655,326608609.0,19477336549000.0,3.2977234873792,2818.0,157427836.0,,,
USA,2018,18.4842699258676,2.98956,285095.0,31.0,,41.8,4.88693701574911,1.7295,328529577.0,20533057312000.0,3.3040005391035,2818.0,156304948.0,,,
USA,2019,18.6853939276571,3.14297,285113.0,31.0,,41.9,4.93472178525416,1.706,330226227.0,21380976119000.0,3.40921408383721,2818.0,155092830.0,,,
USA,2020,19.4939761609452,3.41788,269586.0,29.7,,40.0,6.35465593745812,1.6415,331577720.0,21060473613000.0,3.64518757294704,2818.0,153903595.0,,,
USA,2021,19.9014614131792,3.4689,262244.0,30.2,,39.7,6.77972198500888,1.664,332099760.0,23315080560000.0,3.40451991574826,2818.0,152711560.0,,,
USA,2022,20.5789833007379,3.48736,262244.0,30.9,,41.7,6.51267429794199,1.6565,334017321.0,25604848907611.0,3.30947715843109,2818.0,151554225.1,,,
USA,2023,21.8459878355521,3.44716,262244.0,30.9,,41.8,5.76340794073065,1.6165,336806231.0,27292170793214.4,3.304441637598,2818.0,151563525.1,,,
